39657,"7792280000094","yerba cachamate hierbas pampeanas x 500 gr","500","gr",0.00
39659,"7792319971173","vino norton cosecha tardia tinto dulce x 750 cm3","750","cm3",0.00
39661,"7792319971234","vino norton sexyfish malbec x 750 cm3","750","cm3",0.00
39663,"7792319971166","vino norton costardia rosado dulce x 750 cm3","750","cm3",0.00
39665,"7792319971159","vino norton cosecha tardia blanco dulce x 750 cm3","750","cm3",0.00
39667,"7792319678560","champagne norton cosespbrut nature x 750 cm3","750","cm3",0.00
39669,"7792319675781","champagne norton extra brut x 750 cm3","750","cm3",0.00
39671,"7792319000118","champagne norton cosecha tardia x 750 cm3","750","cm3",0.00
39673,"7792319677792","vino norton barrel select malbec x 750 cm3","750","cm3",0.00
39675,"7792319003591","champagne norton dulce x 750 cm3","750","cm3",0.00
39677,"7792319970497","vino norton 1895 coleccion malbec x 750 cm3","750","cm3",0.00
39679,"7790717152026","champagne novecento extra brut x 750 cm3","750","cm3",0.00
39681,"7792070053774","aceite nucete oliva virgen x 1 lt","1","lt",0.00
39683,"7790580124397","chocolate aguila amargo 70 cacao x 150 gr","150","gr",0.00
39685,"7790580109882","chocolate aguila extrafino 60 cacao x 150 gr","150","gr",0.00
39687,"7790580133740","chocolate arcor con leche y mani x 95 gr","95","gr",0.00
39689,"7790580133795","chocolate arcor duo chocleche y blanco x 95 gr","95","gr",0.00
39691,"7790580102517","bombones bon o bon aguila x 270 gr","270","gr",0.00
39693,"7790580117771","bombones bon o bon con chocolinas x 270 gr","270","gr",0.00
39695,"7790580119126","bombones bon o bon y obleas rellenos x 255 gr","255","gr",0.00
39697,"7798128000165","alfajores cachafaz maizena relldleche x 6 unid","6","uni",0.00
39699,"7798128000257","alfajores cachafaz mousse x 6 unid","6","uni",0.00
39701,"77934499","alfajor cachafaz chocolate negro x 60 gr","60","gr",0.00
39703,"77934505","alfajor cachafaz chocolate blanco x 60 gr","60","gr",0.00
39705,"77930057","alfajor cachafaz mousse x 49 gr","49","gr",0.00
39707,"7792280005693","yerba cachamate paquete rosa x 500 gr","500","gr",0.00
39709,"7790093521799","vino cafayate syrah x 750 cm3","750","cm3",0.00
39711,"7790093521782","vino cafayate malbec x 750 cm3","750","cm3",0.00
39713,"7790093521805","vino cafayate torrontes dulce tardio x 750 cm3","750","cm3",0.00
39715,"7790093521775","vino cafayate cabernet sauvignon x 750 cm3","750","cm3",0.00
